,a2i,vowels,binary
9256,anti,2,0000000000000000000000000000000000000000001100001110111011101001101001
9257,pca,1,0000000000000000000000000000000000000000000000000111000011000111100001
9258,contrary,2,0000000000000011000111101111110111011101001110010110000111100101111001
9259,gabor,2,0000000000000000000000000000000000011001111100001110001011011111110010
9260,santosh,2,0000000000000000000001110011110000111011101110100110111111100111101000
9261,plexity,2,0000000000000000000001110000110110011001011111000110100111101001111001
9262,erate,3,0000000000000000000000000000000000011001011110010110000111101001100101
9263,kreutz,2,0000000000000000000000000000110101111100101100101111010111101001111010
9264,factory,2,0000000000000000000001100110110000111000111110100110111111100101111001
9265,diffusible,4,1100100110100111001101100110111010111100111101001110001011011001100101
9266,solv,1,0000000000000000000000000000000000000000001110011110111111011001110110
9267,attention,4,0000000110000111101001110100110010111011101110100110100111011111101110
9268,atiya,3,0000000000000000000000000000000000011000011110100110100111110011100001
9269,pth,0,0000000000000000000000000000000000000000000000000111000011101001101000
9270,cybernetic,3,1100011111100111000101100101111001011011101100101111010011010011100011
9271,nssm,0,0000000000000000000000000000000000000000001101110111001111100111101101
9272,unsolvable,4,1110101110111011100111101111110110011101101100001110001011011001100101
9273,jpl,0,0000000000000000000000000000000000000000000000000110101011100001101100
9274,story,1,0000000000000000000000000000000000011100111110100110111111100101111001
9275,specific,3,0000000000000011100111110000110010111000111101001110011011010011100011
9276,malkoff,2,0000000000000000000001101101110000111011001101011110111111001101100110
9277,cold,1,0000000000000000000000000000000000000000001100011110111111011001100100
9278,mfa,1,0000000000000000000000000000000000000000000000000110110111001101100001
9279,endowed,3,0000000000000000000001100101110111011001001101111111011111001011100100
9280,walk,1,0000000000000000000000000000000000000000001110111110000111011001101011
9281,produced,3,0000000000000011100001110010110111111001001110101110001111001011100100
9282,argued,3,0000000000000000000000000000110000111100101100111111010111001011100100
9283,principled,3,1110000111001011010011101110110001111010011110000110110011001011100100
9284,misfit,2,0000000000000000000000000000110110111010011110011110011011010011110100
9285,cyber,1,0000000000000000000000000000000000011000111111001110001011001011110010
9286,griffin,2,0000000000000000000001100111111001011010011100110110011011010011101110
9290,ieice,4,0000000000000000000000000000000000011010011100101110100111000111100101
9291,summarize,4,0000000111001111101011101101110110111000011110010110100111110101100101
9292,omohundro,4,0000000110111111011011101111110100011101011101110110010011100101101111
9293,sphered,2,0000000000000000000001110011111000011010001100101111001011001011100100
9294,hewlett,2,0000000000000000000001101000110010111101111101100110010111101001110100
9296,rig,1,0000000000000000000000000000000000000000000000000111001011010011100111
9297,kkt,0,0000000000000000000000000000000000000000000000000110101111010111110100
9298,configured,4,1100011110111111011101100110110100111001111110101111001011001011100100
9299,rivalrous,4,0000000111001011010011110110110000111011001110010110111111101011110011
9300,occuring,3,0000000000000011011111100011110001111101011110010110100111011101100111
9301,incentive,4,0000000110100111011101100011110010111011101110100110100111101101100101
9302,apr,1,0000000000000000000000000000000000000000000000000110000111100001110010
9303,dqh,0,0000000000000000000000000000000000000000000000000110010011100011101000
9304,hop,1,0000000000000000000000000000000000000000000000000110100011011111110000
9305,haykin,2,0000000000000000000000000000110100011000011111001110101111010011101110
9306,decision,4,0000000000000011001001100101110001111010011110011110100111011111101110
9307,crg,0,0000000000000000000000000000000000000000000000000110001111100101100111
9308,folded,2,0000000000000000000000000000110011011011111101100110010011001011100100
9309,bower,2,0000000000000000000000000000000000011000101101111111011111001011110010
9310,steinmetz,3,0000000111001111101001100101110100111011101101101110010111101001111010
9311,pad,1,0000000000000000000000000000000000000000000000000111000011000011100100
9312,risk,1,0000000000000000000000000000000000000000001110010110100111100111101011
9313,nll,0,0000000000000000000000000000000000000000000000000110111011011001101100
9315,minor,2,0000000000000000000000000000000000011011011101001110111011011111110010
9316,mediated,4,0000000000000011011011100101110010011010011100001111010011001011100100
9317,accelerate,5,1100001110001111000111100101110110011001011110010110000111101001100101
9318,greatly,2,0000000000000000000001100111111001011001011100001111010011011001111001
9319,assp,1,0000000000000000000000000000000000000000001100001111001111100111110000
9320,buhot,2,0000000000000000000000000000000000011000101110101110100011011111110100
9321,comes,2,0000000000000000000000000000000000011000111101111110110111001011110011
9322,displaced,3,0000000110010011010011110011111000011011001100001110001111001011100100
9323,solving,2,0000000000000000000001110011110111111011001110110110100111011101100111
9324,ben,1,0000000000000000000000000000000000000000000000000110001011001011101110
9325,strain,2,0000000000000000000000000000111001111101001110010110000111010011101110
9326,aisb,2,0000000000000000000000000000000000000000001100001110100111100111100010
9327,yishay,2,0000000000000000000000000000111100111010011110011110100011000011111001
9328,database,4,0000000000000011001001100001111010011000011100010110000111100111100101
9329,company,2,0000000000000000000001100011110111111011011110000110000111011101111001
9330,neighbor,3,0000000000000011011101100101110100111001111101000110001011011111110010
9331,bromley,2,0000000000000000000001100010111001011011111101101110110011001011111001
9332,egham,2,0000000000000000000000000000000000011001011100111110100011000011101101
9333,ensembles,3,0000000110010111011101110011110010111011011100010110110011001011110011
9334,speculate,4,0000000111001111100001100101110001111101011101100110000111101001100101
9335,artex,2,0000000000000000000000000000000000011000011110010111010011001011111000
9336,paa,2,0000000000000000000000000000000000000000000000000111000011000011100001
9337,optimizing,4,1101111111000011101001101001110110111010011111010110100111011101100111
9338,alan,2,0000000000000000000000000000000000000000001100001110110011000011101110
9339,curve,2,0000000000000000000000000000000000011000111110101111001011101101100101
9340,proj,1,0000000000000000000000000000000000000000001110000111001011011111101010
9341,auer,3,0000000000000000000000000000000000000000001100001111010111001011110010
9342,edinburgh,3,0000000110010111001001101001110111011000101110101111001011001111101000
9343,nuisance,4,0000000000000011011101110101110100111100111100001110111011000111100101
9344,refining,3,0000000000000011100101100101110011011010011101110110100111011101100111
9345,anal,2,0000000000000000000000000000000000000000001100001110111011000011101100
9346,imize,3,0000000000000000000000000000000000011010011101101110100111110101100101
9347,slowest,2,0000000000000000000001110011110110011011111110111110010111100111110100
9348,light,1,0000000000000000000000000000000000011011001101001110011111010001110100
9350,month,1,0000000000000000000000000000000000011011011101111110111011101001101000
9352,likelihood,5,1101100110100111010111100101110110011010011101000110111111011111100100
9353,coloring,3,0000000000000011000111101111110110011011111110010110100111011101100111
9354,identified,5,1101001110010011001011101110111010011010011100110110100111001011100100
9356,forcing,2,0000000000000000000001100110110111111100101100011110100111011101100111
9357,detect,2,0000000000000000000000000000110010011001011110100110010111000111110100
9358,marbach,2,0000000000000000000001101101110000111100101100010110000111000111101000
9359,guesses,3,0000000000000000000001100111111010111001011110011111001111001011110011
9360,bij,1,0000000000000000000000000000000000000000000000000110001011010011101010
9361,traffic,2,0000000000000000000001110100111001011000011100110110011011010011100011
9362,mitsuo,3,0000000000000000000000000000110110111010011110100111001111101011101111
9363,nmse,1,0000000000000000000000000000000000000000001101110110110111100111100101
9364,usefully,3,0000000000000011101011110011110010111001101110101110110011011001111001
9365,triad,2,0000000000000000000000000000000000011101001110010110100111000011100100
9366,sudden,2,0000000000000000000000000000111001111101011100100110010011001011101110
9367,prefer,2,0000000000000000000000000000111000011100101100101110011011001011110010
9368,mpfim,1,0000000000000000000000000000000000011011011110000110011011010011101101
9369,doucet,3,0000000000000000000000000000110010011011111110101110001111001011110100
9370,trial,2,0000000000000000000000000000000000011101001110010110100111000011101100
9371,astronomy,3,0000000110000111100111110100111001011011111101110110111111011011111001
9372,kawamoto,4,0000000000000011010111100001111011111000011101101110111111101001101111
9373,itera,3,0000000000000000000000000000000000011010011110100110010111100101100001
9374,synapfic,2,0000000000000011100111111001110111011000011110000110011011010011100011
9375,tax,1,0000000000000000000000000000000000000000000000000111010011000011111000
9377,param,2,0000000000000000000000000000000000011100001100001111001011000011101101
9378,performed,3,0000000111000011001011110010110011011011111110010110110111001011100100
9379,lehic,2,0000000000000000000000000000000000011011001100101110100011010011100011
9380,schaik,2,0000000000000000000000000000111001111000111101000110000111010011101011
9381,realized,4,0000000000000011100101100101110000111011001101001111101011001011100100
9382,rbp,0,0000000000000000000000000000000000000000000000000111001011000101110000
9384,geometric,4,0000000110011111001011101111110110111001011110100111001011010011100011
9385,cot,1,0000000000000000000000000000000000000000000000000110001111011111110100
9386,naylab,2,0000000000000000000000000000110111011000011111001110110011000011100010
9387,positives,4,0000000111000011011111110011110100111101001101001111011011001011110011
9388,correlates,4,1100011110111111100101110010110010111011001100001111010011001011110011
9389,uninformed,4,1110101110111011010011101110110011011011111110010110110111001011100100
9390,centre,2,0000000000000000000000000000110001111001011101110111010011100101100101
9392,homotopy,3,0000000000000011010001101111110110111011111110100110111111100001111001
9393,repetition,5,1110010110010111100001100101111010011010011110100110100111011111101110
9394,spca,1,0000000000000000000000000000000000000000001110011111000011000111100001
9395,sooner,3,0000000000000000000000000000111001111011111101111110111011001011110010
9396,analogous,5,0000000110000111011101100001110110011011111100111110111111101011110011
9397,ginzburg,2,0000000000000011001111101001110111011110101100010111010111100101100111
9398,corpus,2,0000000000000000000000000000110001111011111110010111000011101011110011
9399,geoff,2,0000000000000000000000000000000000011001111100101110111111001101100110
9400,hashing,2,0000000000000000000001101000110000111100111101000110100111011101100111
9401,bengio,3,0000000000000000000000000000110001011001011101110110011111010011101111
9403,occupation,5,1101111110001111000111110101111000011000011110100110100111011111101110
9404,smola,2,0000000000000000000000000000000000011100111101101110111111011001100001
9405,grill,1,0000000000000000000000000000000000011001111110010110100111011001101100
9406,movie,3,0000000000000000000000000000000000011011011101111111011011010011100101
9407,humphrey,2,0000000000000011010001110101110110111100001101000111001011001011111001
9408,adjacency,3,0000000110000111001001101010110000111000111100101110111011000111111001
9409,illusory,3,0000000000000011010011101100110110011101011110011110111111100101111001
9410,link,1,0000000000000000000000000000000000000000001101100110100111011101101011
9411,institute,4,0000000110100111011101110011111010011010011110100111010111101001100101
9412,crawford,2,0000000000000011000111110010110000111101111100110110111111100101100100
9413,malsburg,2,0000000000000011011011100001110110011100111100010111010111100101100111
9414,kamp,1,0000000000000000000000000000000000000000001101011110000111011011110000
9415,intrusive,4,0000000110100111011101110100111001011101011110011110100111101101100101
9417,kiang,2,0000000000000000000000000000000000011010111101001110000111011101100111
9418,medical,3,0000000000000000000001101101110010111001001101001110001111000011101100
9419,gratefully,3,1100111111001011000011110100110010111001101110101110110011011001111001
9420,sweeping,3,0000000000000011100111110111110010111001011110000110100111011101100111
9421,exceeding,4,0000000110010111110001100011110010111001011100100110100111011101100111
9422,slopes,2,0000000000000000000000000000111001111011001101111111000011001011110011
9423,fading,2,0000000000000000000000000000110011011000011100100110100111011101100111
9424,massive,3,0000000000000000000001101101110000111100111110011110100111101101100101
9425,sesame,3,0000000000000000000000000000111001111001011110011110000111011011100101
9426,montgomery,3,1101101110111111011101110100110011111011111101101110010111100101111001
9427,primitives,4,1110000111001011010011101101110100111101001101001111011011001011110011
9428,envi,2,0000000000000000000000000000000000000000001100101110111011101101101001
9429,cpspw,0,0000000000000000000000000000000000011000111110000111001111100001110111
9430,bischof,2,0000000000000000000001100010110100111100111100011110100011011111100110
9431,asilomar,4,0000000000000011000011110011110100111011001101111110110111000011110010
9432,paradox,3,0000000000000000000001110000110000111100101100001110010011011111111000
9433,growing,2,0000000000000000000001100111111001011011111110111110100111011101100111
9434,modulation,5,1101101110111111001001110101110110011000011110100110100111011111101110
9435,compensate,4,1100011110111111011011110000110010111011101110011110000111101001100101
9436,cord,1,0000000000000000000000000000000000000000001100011110111111100101100100
9437,littmann,2,0000000000000011011001101001111010011101001101101110000111011101101110
9438,mohawk,2,0000000000000000000000000000110110111011111101000110000111101111101011
9439,widely,2,0000000000000000000000000000111011111010011100100110010111011001111001
9440,leaf,2,0000000000000000000000000000000000000000001101100110010111000011100110
9441,atkeson,3,0000000000000000000001100001111010011010111100101111001111011111101110
9442,dlo,1,0000000000000000000000000000000000000000000000000110010011011001101111
9443,give,2,0000000000000000000000000000000000000000001100111110100111101101100101
9445,steering,3,0000000000000011100111110100110010111001011110010110100111011101100111
9446,syndrome,2,0000000000000011100111111001110111011001001110010110111111011011100101
9447,evaluation,6,1100101111011011000011101100111010111000011110100110100111011111101110
9448,balanced,3,0000000000000011000101100001110110011000011101110110001111001011100100
9450,phenomenon,4,1110000110100011001011101110110111111011011100101110111011011111101110
9451,dependent,3,0000000110010011001011110000110010111011101100100110010111011101110100
9452,pap,1,0000000000000000000000000000000000000000000000000111000011000011110000
9453,depicted,3,0000000000000011001001100101111000011010011100011111010011001011100100
9454,toomarian,5,0000000111010011011111101111110110111000011110010110100111000011101110
9455,decoded,3,0000000000000000000001100100110010111000111101111110010011001011100100
9456,ennis,2,0000000000000000000000000000000000011001011101110110111011010011110011
9457,predictive,4,1110000111001011001011100100110100111000111110100110100111101101100101
9458,supplies,3,0000000000000011100111110101111000011100001101100110100111001011110011
9459,fresh,1,0000000000000000000000000000000000011001101110010110010111100111101000
9460,ipsp,1,0000000000000000000000000000000000000000001101001111000011100111110000
9461,torrey,2,0000000000000000000000000000111010011011111110010111001011001011111001
9462,gpp,0,0000000000000000000000000000000000000000000000000110011111100001110000
9464,bet,1,0000000000000000000000000000000000000000000000000110001011001011110100
9465,departure,4,0000000110010011001011110000110000111100101110100111010111100101100101
9466,der,1,0000000000000000000000000000000000000000000000000110010011001011110010
9468,kotani,3,0000000000000000000000000000110101111011111110100110000111011101101001
9469,schwarze,2,0000000000000011100111100011110100011101111100001111001011110101100101
9470,boosted,3,0000000000000000000001100010110111111011111110011111010011001011100100
9471,succeed,3,0000000000000000000001110011111010111000111100011110010111001011100100
9474,ithaca,3,0000000000000000000000000000110100111101001101000110000111000111100001
9475,cusp,1,0000000000000000000000000000000000000000001100011111010111100111110000
9476,exhibiting,4,1100101111100011010001101001110001011010011110100110100111011101100111
9477,reflection,4,1110010110010111001101101100110010111000111110100110100111011111101110
9478,pfc,0,0000000000000000000000000000000000000000000000000111000011001101100011
9479,luminosity,4,1101100111010111011011101001110111011011111110011110100111101001111001
9480,feret,2,0000000000000000000000000000000000011001101100101111001011001011110100
9481,feng,1,0000000000000000000000000000000000000000001100110110010111011101100111
9482,retrain,3,0000000000000000000001110010110010111101001110010110000111010011101110
9483,lman,1,0000000000000000000000000000000000000000001101100110110111000011101110
9484,retinas,3,0000000000000000000001110010110010111101001101001110111011000011110011
9485,cmm,0,0000000000000000000000000000000000000000000000000110001111011011101101
9487,separating,4,1110011110010111100001100001111001011000011110100110100111011101100111
9489,local,2,0000000000000000000000000000000000011011001101111110001111000011101100
9490,wako,2,0000000000000000000000000000000000000000001110111110000111010111101111
9491,invoke,3,0000000000000000000000000000110100111011101110110110111111010111100101
9492,netr,1,0000000000000000000000000000000000000000001101110110010111101001110010
9493,addition,4,0000000000000011000011100100110010011010011110100110100111011111101110
9495,heckerman,3,0000000110100011001011100011110101111001011110010110110111000011101110
9496,deangelis,4,0000000110010011001011100001110111011001111100101110110011010011110011
9497,tti,1,0000000000000000000000000000000000000000000000000111010011101001101001
9498,subtract,2,0000000000000011100111110101110001011101001110010110000111000111110100
9499,say,1,0000000000000000000000000000000000000000000000000111001111000011111001
9500,ranges,2,0000000000000000000000000000111001011000011101110110011111001011110011
9501,traveling,3,0000000111010011100101100001111011011001011101100110100111011101100111
9502,dmax,1,0000000000000000000000000000000000000000001100100110110111000011111000
9503,fij,1,0000000000000000000000000000000000000000000000000110011011010011101010
9505,ine,2,0000000000000000000000000000000000000000000000000110100111011101100101
9506,summing,2,0000000000000000000001110011111010111011011101101110100111011101100111
9507,distances,3,0000000110010011010011110011111010011000011101110110001111001011110011
9508,captures,3,0000000000000011000111100001111000011101001110101111001011001011110011
9509,fii,2,0000000000000000000000000000000000000000000000000110011011010011101001
9510,sdm,0,0000000000000000000000000000000000000000000000000111001111001001101101
9511,howard,2,0000000000000000000000000000110100011011111110111110000111100101100100
9512,consist,2,0000000000000000000001100011110111111011101110011110100111100111110100
9513,imprinting,3,1101001110110111100001110010110100111011101110100110100111011101100111
9514,employed,3,0000000000000011001011101101111000011011001101111111100111001011100100
9515,hanazawa,4,0000000000000011010001100001110111011000011111010110000111101111100001
9516,acquires,4,0000000000000011000011100011111000111101011101001111001011001011110011
9517,allowed,3,0000000000000000000001100001110110011011001101111111011111001011100100
9518,improved,3,0000000000000011010011101101111000011100101101111111011011001011100100
9519,catch,1,0000000000000000000000000000000000011000111100001111010011000111101000
9520,expo,2,0000000000000000000000000000000000000000001100101111100011100001101111
9521,bandpass,2,0000000000000011000101100001110111011001001110000110000111100111110011
9522,maker,2,0000000000000000000000000000000000011011011100001110101111001011110010
9523,ence,2,0000000000000000000000000000000000000000001100101110111011000111100101
9524,dtw,0,0000000000000000000000000000000000000000000000000110010011101001110111
9525,tribution,4,0000000111010011100101101001110001011101011110100110100111011111101110
9526,kremer,2,0000000000000000000000000000110101111100101100101110110111001011110010
9527,ization,4,0000000000000000000001101001111101011000011110100110100111011111101110
9528,waiting,3,0000000000000000000001110111110000111010011110100110100111011101100111
9529,shaping,2,0000000000000000000001110011110100011000011110000110100111011101100111
9530,def,1,0000000000000000000000000000000000000000000000000110010011001011100110
9533,accuracy,3,0000000000000011000011100011110001111101011110010110000111000111111001
9536,struc,1,0000000000000000000000000000000000011100111110100111001011101011100011
9537,met,1,0000000000000000000000000000000000000000000000000110110111001011110100
9538,shih,1,0000000000000000000000000000000000000000001110011110100011010011101000
9539,lined,2,0000000000000000000000000000000000011011001101001110111011001011100100
9540,yielding,3,0000000000000011110011101001110010111011001100100110100111011101100111
9541,filter,2,0000000000000000000000000000110011011010011101100111010011001011110010
9542,sentence,3,0000000000000011100111100101110111011101001100101110111011000111100101
9543,increase,4,0000000000000011010011101110110001111100101100101110000111100111100101
9544,resource,4,0000000000000011100101100101111001111011111110101111001011000111100101
9545,highlight,2,0000000110100011010011100111110100011011001101001110011111010001110100
9547,orienting,4,0000000110111111100101101001110010111011101110100110100111011101100111
9549,outdoor,4,0000000000000000000001101111111010111101001100100110111111011111110010
9552,rated,2,0000000000000000000000000000000000011100101100001111010011001011100100
9553,ibl,1,0000000000000000000000000000000000000000000000000110100111000101101100
9554,strabismus,3,1110011111010011100101100001110001011010011110011110110111101011110011
9555,sisj,1,0000000000000000000000000000000000000000001110011110100111100111101010
9556,fraction,3,0000000000000011001101110010110000111000111110100110100111011111101110
9557,llx,0,0000000000000000000000000000000000000000000000000110110011011001111000
9558,kauffman,3,0000000000000011010111100001111010111001101100110110110111000011101110
9559,sition,3,0000000000000000000000000000111001111010011110100110100111011111101110
9560,explained,4,0000000110010111110001110000110110011000011101001110111011001011100100
9561,waltz,1,0000000000000000000000000000000000011101111100001110110011101001111010
9562,sev,1,0000000000000000000000000000000000000000000000000111001111001011110110
9563,pres,1,0000000000000000000000000000000000000000001110000111001011001011110011
9564,ipi,2,0000000000000000000000000000000000000000000000000110100111100001101001
9566,specially,3,0000000111001111100001100101110001111010011100001110110011011001111001
9567,routines,4,0000000000000011100101101111111010111101001101001110111011001011110011
9568,imization,5,0000000110100111011011101001111101011000011110100110100111011111101110
9569,maih,2,0000000000000000000000000000000000000000001101101110000111010011101000
9570,ion,2,0000000000000000000000000000000000000000000000000110100111011111101110
9571,tral,1,0000000000000000000000000000000000000000001110100111001011000011101100
9572,cedex,2,0000000000000000000000000000000000011000111100101110010011001011111000
9573,piriform,3,0000000000000011100001101001111001011010011100110110111111100101101101
9574,bringing,2,0000000000000011000101110010110100111011101100111110100111011101100111
9575,priate,3,0000000000000000000000000000111000011100101101001110000111101001100101
9576,regularize,5,1110010110010111001111110101110110011000011110010110100111110101100101
9577,depict,2,0000000000000000000000000000110010011001011110000110100111000111110100
9578,mcgill,1,0000000000000000000000000000110110111000111100111110100111011001101100
9580,modify,2,0000000000000000000000000000110110111011111100100110100111001101111001
9581,luenberger,4,1101100111010111001011101110110001011001011110010110011111001011110010
9582,rashid,2,0000000000000000000000000000111001011000011110011110100011010011100100
9584,closure,3,0000000000000000000001100011110110011011111110011111010111100101100101
9585,info,2,0000000000000000000000000000000000000000001101001110111011001101101111
9586,frequent,3,0000000000000011001101110010110010111100011110101110010111011101110100
9587,suc,1,0000000000000000000000000000000000000000000000000111001111101011100011
9588,kolen,2,0000000000000000000000000000000000011010111101111110110011001011101110
9589,liberal,3,0000000000000000000001101100110100111000101100101111001011000011101100
9590,edelman,3,0000000000000000000001100101110010011001011101100110110111000011101110
9591,laminar,3,0000000000000000000001101100110000111011011101001110111011000011110010
9592,dashed,2,0000000000000000000000000000110010011000011110011110100011001011100100
9593,shh,0,0000000000000000000000000000000000000000000000000111001111010001101000
9594,cylinder,2,0000000000000011000111111001110110011010011101110110010011001011110010
9595,stm,0,0000000000000000000000000000000000000000000000000111001111101001101101
9596,thumb,1,0000000000000000000000000000000000011101001101000111010111011011100010
9597,historical,4,1101000110100111100111110100110111111100101101001110001111000011101100
9599,batches,2,0000000000000000000001100010110000111101001100011110100011001011110011
9601,sem,1,0000000000000000000000000000000000000000000000000111001111001011101101
9602,branches,2,0000000000000011000101110010110000111011101100011110100011001011110011
9603,attract,2,0000000000000000000001100001111010011101001110010110000111000111110100
9604,kanerva,3,0000000000000000000001101011110000111011101100101111001011101101100001
9605,primary,2,0000000000000000000001110000111001011010011101101110000111100101111001
9606,retention,4,0000000111001011001011110100110010111011101110100110100111011111101110
9607,program,2,0000000000000000000001110000111001011011111100111111001011000011101101
9608,conduction,4,1100011110111111011101100100111010111000111110100110100111011111101110
9609,impossible,4,1101001110110111100001101111111001111100111101001110001011011001100101
9612,ntn,0,0000000000000000000000000000000000000000000000000110111011101001101110
9613,farmer,2,0000000000000000000000000000110011011000011110010110110111001011110010
9614,duration,4,0000000000000011001001110101111001011000011110100110100111011111101110
9616,gtm,0,0000000000000000000000000000000000000000000000000110011111101001101101
9617,formance,3,0000000000000011001101101111111001011011011100001110111011000111100101
9618,pathway,2,0000000000000000000001110000110000111101001101000111011111000011111001
9619,defines,3,0000000000000000000001100100110010111001101101001110111011001011110011
9621,merzenich,3,0000000110110111001011110010111101011001011101110110100111000111101000
9622,justify,2,0000000000000000000001101010111010111100111110100110100111001101111001
9623,wrl,0,0000000000000000000000000000000000000000000000000111011111100101101100
9625,confine,3,0000000000000000000001100011110111111011101100110110100111011101100101
9626,intrinsic,3,0000000110100111011101110100111001011010011101110111001111010011100011
9627,visuomotor,5,1110110110100111100111110101110111111011011101111111010011011111110010
9628,rockland,2,0000000000000011100101101111110001111010111101100110000111011101100100
9629,column,2,0000000000000000000000000000110001111011111101100111010111011011101110
9630,sketched,2,0000000000000011100111101011110010111101001100011110100011001011100100
9631,responding,3,1110010110010111100111110000110111111011101100100110100111011101100111
9632,lamina,3,0000000000000000000000000000110110011000011101101110100111011101100001
9633,accounted,4,0000000110000111000111100011110111111101011101110111010011001011100100
9634,void,2,0000000000000000000000000000000000000000001110110110111111010011100100
9635,conscious,4,0000000110001111011111101110111001111000111101001110111111101011110011
9636,stork,1,0000000000000000000000000000000000011100111110100110111111100101101011
9638,corrupted,3,0000000110001111011111110010111001011101011110000111010011001011100100
9639,encoder,3,0000000000000000000001100101110111011000111101111110010011001011110010
9641,skin,1,0000000000000000000000000000000000000000001110011110101111010011101110
9642,pose,2,0000000000000000000000000000000000000000001110000110111111100111100101
9643,perplexity,3,1110000110010111100101110000110110011001011111000110100111101001111001
9644,formedness,3,1100110110111111100101101101110010111001001101110110010111100111110011
9646,watson,2,0000000000000000000000000000111011111000011110100111001111011111101110
9647,discrimi,3,0000000000000011001001101001111001111000111110010110100111011011101001
9648,fhu,1,0000000000000000000000000000000000000000000000000110011011010001110101
9649,faber,2,0000000000000000000000000000000000011001101100001110001011001011110010
9650,siggraph,2,0000000000000011100111101001110011111001111110010110000111100001101000
9651,grace,2,0000000000000000000000000000000000011001111110010110000111000111100101
9653,cassandra,3,0000000110001111000011110011111001111000011101110110010011100101100001
9654,scientific,4,1110011110001111010011100101110111011101001101001110011011010011100011
9655,bigram,2,0000000000000000000000000000110001011010011100111111001011000011101101
9657,xor,1,0000000000000000000000000000000000000000000000000111100011011111110010
9658,nov,1,0000000000000000000000000000000000000000000000000110111011011111110110
9659,mistaken,3,0000000000000011011011101001111001111101001100001110101111001011101110
9660,matched,2,0000000000000000000001101101110000111101001100011110100011001011100100
9661,angeles,3,0000000000000000000001100001110111011001111100101110110011001011110011
9662,yishai,3,0000000000000000000000000000111100111010011110011110100011000011101001
9663,usefulness,4,1110101111001111001011100110111010111011001101110110010111100111110011
9664,akaike,4,0000000000000000000000000000110000111010111100001110100111010111100101
9665,involved,3,0000000000000011010011101110111011011011111101100111011011001011100100
9666,psp,0,0000000000000000000000000000000000000000000000000111000011100111110000
9667,cognition,4,0000000110001111011111100111110111011010011110100110100111011111101110
9668,connecting,3,1100011110111111011101101110110010111000111110100110100111011101100111
9669,imbert,2,0000000000000000000000000000110100111011011100010110010111100101110100
9671,gdnn,0,0000000000000000000000000000000000000000001100111110010011011101101110
9672,reuse,3,0000000000000000000000000000000000011100101100101111010111100111100101
9673,separated,4,0000000111001111001011110000110000111100101100001111010011001011100100
9674,domany,2,0000000000000000000000000000110010011011111101101110000111011101111001
9675,flee,2,0000000000000000000000000000000000000000001100110110110011001011100101
9676,schedule,3,0000000000000011100111100011110100011001011100100111010111011001100101
9677,gammon,2,0000000000000000000000000000110011111000011101101110110111011111101110
9678,springer,2,0000000000000011100111110000111001011010011101110110011111001011110010
9679,coupled,3,0000000000000000000001100011110111111101011110000110110011001011100100
9680,bourlard,3,0000000000000011000101101111111010111100101101100110000111100101100100
9681,opment,2,0000000000000000000000000000110111111100001101101110010111011101110100
9682,rnsec,1,0000000000000000000000000000000000011100101101110111001111001011100011
9683,attitude,4,0000000000000011000011110100111010011010011110100111010111001001100101
9684,continues,4,0000000110001111011111101110111010011010011101110111010111001011110011
9686,marker,2,0000000000000000000000000000110110111000011110010110101111001011110010
9687,triggered,3,0000000111010011100101101001110011111001111100101111001011001011100100
9689,earning,3,0000000000000000000001100101110000111100101101110110100111011101100111
9691,voc,1,0000000000000000000000000000000000000000000000000111011011011111100011
9692,limb,1,0000000000000000000000000000000000000000001101100110100111011011100010
9693,reversed,3,0000000000000011100101100101111011011001011110010111001111001011100100
9694,mueller,3,0000000000000000000001101101111010111001011101100110110011001011110010
9695,escapes,3,0000000000000000000001100101111001111000111100001111000011001011110011
9697,roughly,2,0000000000000000000001110010110111111101011100111110100011011001111001
9698,uij,2,0000000000000000000000000000000000000000000000000111010111010011101010
9699,zip,1,0000000000000000000000000000000000000000000000000111101011010011110000
9700,wadsworth,2,0000000111011111000011100100111001111101111101111111001011101001101000
9701,gittin,2,0000000000000000000000000000110011111010011110100111010011010011101110
9702,ovi,2,0000000000000000000000000000000000000000000000000110111111101101101001
9703,deriving,3,0000000000000011001001100101111001011010011110110110100111011101100111
9704,supplied,3,0000000000000011100111110101111000011100001101100110100111001011100100
9705,euler,3,0000000000000000000000000000000000011001011110101110110011001011110010
9706,brightness,2,1100010111001011010011100111110100011101001101110110010111100111110011
9707,violate,4,0000000000000000000001110110110100111011111101100110000111101001100101
9709,rot,1,0000000000000000000000000000000000000000000000000111001011011111110100
9710,obviously,4,0000000110111111000101110110110100111011111110101111001111011001111001
9711,agnostic,3,0000000000000011000011100111110111011011111110011111010011010011100011
9714,prehensile,4,1110000111001011001011101000110010111011101110011110100111011001100101
9716,dowling,2,0000000000000000000001100100110111111101111101100110100111011101100111
9717,bal,1,0000000000000000000000000000000000000000000000000110001011000011101100
9718,equivalent,5,1100101111000111101011101001111011011000011101100110010111011101110100
9719,vmos,1,0000000000000000000000000000000000000000001110110110110111011111110011
9720,lda,1,0000000000000000000000000000000000000000000000000110110011001001100001
9722,impulse,3,0000000000000000000001101001110110111100001110101110110011100111100101
9723,sectional,4,0000000111001111001011100011111010011010011101111110111011000011101100
9724,hetero,3,0000000000000000000000000000110100011001011110100110010111100101101111
9725,objec,2,0000000000000000000000000000000000011011111100010110101011001011100011
